"Index","Ticket","FixVersion"
"742","TAJO-968","0.9.0"
"743","TAJO-966","0.9.0"
"744","TAJO-965","0.9.0"
"745","TAJO-962","0.9.0"
"746","TAJO-961","0.9.0"
"747","TAJO-960","0.9.0"
"748","TAJO-957","0.9.0"
"749","TAJO-956","0.9.0"
"750","TAJO-953","0.9.0"
"751","TAJO-952","0.9.0"
"752","TAJO-949","0.9.0"
"753","TAJO-948","0.9.0"
"754","TAJO-947","0.9.0"
"755","TAJO-945","0.9.0"
"756","TAJO-939","0.9.0"
"757","TAJO-937","0.9.0"
"758","TAJO-936","0.9.0"
"759","TAJO-934","0.9.0"
"760","TAJO-933","0.9.0"
"761","TAJO-932","0.9.0"
"762","TAJO-931","0.9.0"
"763","TAJO-929","0.9.0"
"764","TAJO-928","0.9.0"
"765","TAJO-927","0.9.0"
"766","TAJO-926","0.9.0"
"767","TAJO-925","0.9.0"
"768","TAJO-924","0.9.0"
"769","TAJO-917","0.9.0"
"770","TAJO-916","0.9.0"
"771","TAJO-914","0.9.0"
"772","TAJO-913","0.9.0"
"773","TAJO-912","0.9.0"
"774","TAJO-911","0.9.0"
"775","TAJO-910","0.9.0"
"776","TAJO-909","0.9.0"
"777","TAJO-908","0.9.0"
"778","TAJO-907","0.9.0"
"779","TAJO-906","0.9.0"
"780","TAJO-905","0.9.0"
"781","TAJO-904","0.9.0"
"782","TAJO-903","0.9.0"
"783","TAJO-902","0.9.0"
"784","TAJO-900","0.9.0"
"785","TAJO-899","0.9.0"
"786","TAJO-898","0.9.0"
"787","TAJO-897","0.9.0"
"788","TAJO-896","0.9.0"
"789","TAJO-895","0.9.0"
"790","TAJO-894","0.9.0"
"791","TAJO-891","0.9.0"
